message_id,station_id,generation_time_real,latitude,longitude,altitude,heading,speed_kmh,longitudinal_acc,lateral_acc,day,weekday_es,hour,hour_label,received_at,tipo_dia
737180,14532050,2025-03-25 10:51:21.126000+00:00,40.473758399999994,-3.6731383,772.5,342.8,51.05,0.0,0.0,2025-03-25,Martes,10,10:00,2025-03-25 10:51:37.876000+00:00,Laborable
737205,14532050,2025-03-25 10:51:21.139000+00:00,40.4745533,-3.6735539999999998,771.5,336.2,52.7,0.2,-0.2,2025-03-25,Martes,10,10:00,2025-03-25 10:51:44.386000+00:00,Laborable
737237,14532050,2025-03-25 10:51:21.133000+00:00,40.47568830000001,-3.673994899999999,770.5,348.3,58.61,0.0,0.2,2025-03-25,Martes,10,10:00,2025-03-25 10:51:52.680000+00:00,Laborable
737261,14532050,2025-03-25 10:51:21.239000+00:00,40.476565,-3.6741547999999993,773.5,354.3,54.76,0.3,0.2,2025-03-25,Martes,10,10:00,2025-03-25 10:51:59.186000+00:00,Laborable
737284,14532050,2025-03-25 10:51:21.246000+00:00,40.4775247,-3.6742127999999994,776.5,0.1,59.87,0.0,0.0,2025-03-25,Martes,10,10:00,2025-03-25 10:52:05.796000+00:00,Laborable
737315,14532050,2025-03-25 10:51:21.138000+00:00,40.478872,-3.674102599999999,779.5,5.8,68.58,0.2,0.1,2025-03-25,Martes,10,10:00,2025-03-25 10:52:14.185000+00:00,Laborable
737338,14532050,2025-03-25 10:51:21.137000+00:00,40.47982629999999,-3.6739338,781.5,8.3,69.95,-0.2,0.1,2025-03-25,Martes,10,10:00,2025-03-25 10:52:19.686000+00:00,Laborable
737362,14532050,2025-03-25 10:51:21.153000+00:00,40.480897799999994,-3.6737112,782.5,9.4,67.21,-0.2,0.1,2025-03-25,Martes,10,10:00,2025-03-25 10:52:26.001000+00:00,Laborable
737397,14532050,2025-03-25 10:52:26.675000+00:00,40.48232970000001,-3.6731939999999996,783.5,26.8,67.07,0.3,-1.2,2025-03-25,Martes,10,10:00,2025-03-25 10:52:34.886000+00:00,Laborable
707910,22551831,2025-03-24 16:11:46.749000+00:00,40.47375629999999,-3.6734925,757.5,340.3,94.79,0.1,-0.2,2025-03-24,Lunes,16,16:00,2025-03-24 16:12:20.326000+00:00,Laborable
707958,22551831,2025-03-24 16:11:46.753000+00:00,40.47533889999999,-3.6740715999999995,761.5,348.0,83.81,-0.3,0.0,2025-03-24,Lunes,16,16:00,2025-03-24 16:12:27.527000+00:00,Laborable
707998,22551831,2025-03-24 16:11:46.764000+00:00,40.4762342,-3.6742578,764.5,353.3,78.98,0.8,0.0,2025-03-24,Lunes,16,16:00,2025-03-24 16:12:32.137000+00:00,Laborable
708025,22551831,2025-03-24 16:11:46.762000+00:00,40.47731569999999,-3.6743554,766.5,358.5,88.06,-0.5,0.0,2025-03-24,Lunes,16,16:00,2025-03-24 16:12:37.126000+00:00,Laborable
708056,22551831,2025-03-24 16:11:46.756000+00:00,40.47853859999999,-3.6742986,769.5,4.4,73.26,0.4,0.0,2025-03-24,Lunes,16,16:00,2025-03-24 16:12:43.332000+00:00,Laborable
708079,22551831,2025-03-24 16:11:46.764000+00:00,40.4794408,-3.674163899999999,771.5,7.3,83.45,0.1,0.0,2025-03-24,Lunes,16,16:00,2025-03-24 16:12:47.927000+00:00,Laborable
708107,22551831,2025-03-24 16:12:52.293000+00:00,40.4805733,-3.6739369,773.5,8.1,82.4,0.4,0.0,2025-03-24,Lunes,16,16:00,2025-03-24 16:12:53.532000+00:00,Laborable
708130,22551831,2025-03-24 16:12:52.294000+00:00,40.481517,-3.6737427,774.5,8.3,85.72,0.4,0.1,2025-03-24,Lunes,16,16:00,2025-03-24 16:12:58.132000+00:00,Laborable
708161,22551831,2025-03-24 16:12:52.290000+00:00,40.4829208,-3.6735137999999994,774.5,5.3,96.8,0.2,0.2,2025-03-24,Lunes,16,16:00,2025-03-24 16:13:04.327000+00:00,Laborable
708185,22551831,2025-03-24 16:12:52.304000+00:00,40.484142399999996,-3.6733791999999994,774.5,3.7,98.68,0.2,0.2,2025-03-24,Lunes,16,16:00,2025-03-24 16:13:09.332000+00:00,Laborable
708208,22551831,2025-03-24 16:12:52.288000+00:00,40.48534179999999,-3.6732603,774.5,4.0,106.67,0.5,0.0,2025-03-24,Lunes,16,16:00,2025-03-24 16:13:14.027000+00:00,Laborable
708244,22551831,2025-03-24 16:12:52.294000+00:00,40.4884986,-3.6728896999999994,775.5,8.9,97.6,-1.2,-0.2,2025-03-24,Lunes,16,16:00,2025-03-24 16:13:25.526000+00:00,Laborable
818068,25914404,2025-03-30 14:29:24.074000+00:00,40.47841979999999,-3.6745303000000002,772.5,184.4,67.21,0.2,-0.4,2025-03-30,Domingo,14,14:00,2025-03-30 14:29:50.698000+00:00,Fin de semana
818240,29530113,2025-03-30 20:38:31.457000+00:00,40.472992399999995,-3.6732424999999997,761.5,293.2,49.75,-1.3,0.9,2025-03-30,Domingo,20,20:00,2025-03-30 20:39:33.115000+00:00,Fin de semana
760044,29901870,2025-03-27 11:41:54.285000+00:00,40.47969640000001,-3.6743365999999997,776.5,188.3,47.34,-0.2,-0.1,2025-03-27,Jueves,11,11:00,2025-03-27 11:42:07.237000+00:00,Laborable
760067,29901870,2025-03-27 11:41:54.217000+00:00,40.47883590000001,-3.6744866999999997,775.5,186.1,54.43,0.3,-0.1,2025-03-27,Jueves,11,11:00,2025-03-27 11:42:14.097000+00:00,Laborable
760098,29901870,2025-03-27 11:41:54.246000+00:00,40.47748369999999,-3.6745854000000002,772.5,180.0,57.78,-0.3,-0.1,2025-03-27,Jueves,11,11:00,2025-03-27 11:42:23.406000+00:00,Laborable
760125,29901870,2025-03-27 11:41:54.245000+00:00,40.476263499999995,-3.6744940999999995,770.5,174.1,64.04,-0.2,-0.1,2025-03-27,Jueves,11,11:00,2025-03-27 11:42:31.406000+00:00,Laborable
760156,29901870,2025-03-27 11:41:54.251000+00:00,40.474930699999994,-3.6742006000000003,768.5,167.1,62.17,0.2,-0.4,2025-03-27,Jueves,11,11:00,2025-03-27 11:42:40.206000+00:00,Laborable
760192,29901870,2025-03-27 11:42:59.932000+00:00,40.4715329,-3.6723737999999995,762.5,148.8,74.3,0.0,-0.1,2025-03-27,Jueves,11,11:00,2025-03-27 11:43:02.076000+00:00,Laborable
769413,32075921,2025-03-28 07:46:40.573000+00:00,40.484811499999985,-3.6738109,775.5,113.8,31.97,-0.2,-3.0,2025-03-28,Viernes,7,07:00,2025-03-28 07:47:15.607000+00:00,Laborable
769436,32075921,2025-03-28 07:47:45.977000+00:00,40.481827599999995,-3.6738971,772.5,188.1,7.7,-3.1,0.2,2025-03-28,Viernes,7,07:00,2025-03-28 07:47:47.865000+00:00,Laborable
769459,32075921,2025-03-28 07:47:45.970000+00:00,40.4814325,-3.673968599999999,772.5,188.9,14.0,-1.1,0.0,2025-03-28,Viernes,7,07:00,2025-03-28 07:48:06.865000+00:00,Laborable
769483,32075921,2025-03-28 07:47:45.975000+00:00,40.4807412,-3.6741041999999995,773.5,188.3,23.9,1.0,0.0,2025-03-28,Viernes,7,07:00,2025-03-28 07:48:22.870000+00:00,Laborable
769506,32075921,2025-03-28 07:47:45.970000+00:00,40.4799521,-3.6742211,776.5,186.1,54.68,1.3,-0.2,2025-03-28,Viernes,7,07:00,2025-03-28 07:48:31.965000+00:00,Laborable
769529,32075921,2025-03-28 07:47:45.975000+00:00,40.479144299999994,-3.6743839,774.5,187.8,44.96,-0.9,-0.3,2025-03-28,Viernes,7,07:00,2025-03-28 07:48:38.070000+00:00,Laborable
769564,32075921,2025-03-28 07:48:51.511000+00:00,40.477798099999994,-3.674509,770.5,181.8,31.46,1.4,-0.4,2025-03-28,Viernes,7,07:00,2025-03-28 07:48:54.270000+00:00,Laborable
769588,32075921,2025-03-28 07:48:51.515000+00:00,40.4767984,-3.6744829,768.5,177.1,33.12,-0.5,-0.4,2025-03-28,Viernes,7,07:00,2025-03-28 07:49:06.275000+00:00,Laborable
769611,32075921,2025-03-28 07:48:51.518000+00:00,40.475977199999996,-3.674383,766.5,172.6,36.22,-0.5,-0.4,2025-03-28,Viernes,7,07:00,2025-03-28 07:49:15.870000+00:00,Laborable
769634,32075921,2025-03-28 07:48:51.511000+00:00,40.475099900000004,-3.6741752000000005,764.5,167.6,51.59,0.8,-0.3,2025-03-28,Viernes,7,07:00,2025-03-28 07:49:24.470000+00:00,Laborable
769658,32075921,2025-03-28 07:48:51.516000+00:00,40.4742583,-3.6738922,762.5,164.1,49.46,0.0,-0.4,2025-03-28,Viernes,7,07:00,2025-03-28 07:49:31.075000+00:00,Laborable
769693,32075921,2025-03-28 07:48:51.510000+00:00,40.4718485,-3.6726311999999997,755.5,152.6,29.52,-0.8,-0.3,2025-03-28,Viernes,7,07:00,2025-03-28 07:49:54.670000+00:00,Laborable
765797,34910795,2025-03-28 07:07:21.311000+00:00,40.4841261,-3.6733886,783.5,267.7,46.26,-0.2,0.0,2025-03-28,Viernes,7,07:00,2025-03-28 07:07:48.407000+00:00,Laborable
772874,39240351,2025-03-28 09:24:58.677000+00:00,40.471772800000004,-3.6722180000000004,759.5,329.3,78.55,-0.1,-0.1,2025-03-28,Viernes,9,09:00,2025-03-28 09:25:00.892000+00:00,Laborable
772897,39240351,2025-03-28 09:24:58.675000+00:00,40.47345099999999,-3.6733225,759.5,337.3,72.29,0.2,0.0,2025-03-28,Viernes,9,09:00,2025-03-28 09:25:10.980000+00:00,Laborable
772920,39240351,2025-03-28 09:24:58.688000+00:00,40.4742004,-3.6736522,761.5,342.5,74.2,0.0,0.0,2025-03-28,Viernes,9,09:00,2025-03-28 09:25:15.295000+00:00,Laborable
